node1,node2,node1_string_internal_id,node2_string_internal_id,node1_external_id,node2_external_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
MCM3,MCM5,1.84E+06,1842548,9606.ENSP00000229854,9606.ENSP00000216122,0,0,0,0.761,0,0.99,0,0,0.99
SCN8A,CALM2,1.85E+06,1846243,9606.ENSP00000346534,9606.ENSP00000272298,0,0,0,0,0,0.99,0,0,0.99
SCN8A,SCN11A,1.85E+06,1848973,9606.ENSP00000346534,9606.ENSP00000307599,0,0,0,0.904,0,0.99,0,0,0.99
SCN5A,SCN11A,1.85E+06,1848973,9606.ENSP00000328968,9606.ENSP00000307599,0,0,0,0.92,0,0.99,0,0,0.99
MNAT1,CCNH,1.84E+06,1844473,9606.ENSP00000261245,9606.ENSP00000256897,0,0,0,0,0,0.989,0,0,0.989
ORC2,CDC6,1.84E+06,1842453,9606.ENSP00000234296,9606.ENSP00000209728,0,0,0,0,0,0.989,0,0,0.989
MCMBP,MCM7,1.85E+06,1848945,9606.ENSP00000353098,9606.ENSP00000307288,0,0,0,0,0,0.989,0,0,0.989
CCNH,CDK7,1.84E+06,1844436,9606.ENSP00000256897,9606.ENSP00000256443,0,0,0,0,0,0.989,0,0,0.989
ERCC2,GTF2E1,1.86E+06,1846870,9606.ENSP00000375809,9606.ENSP00000283875,0,0,0,0,0,0.989,0,0,0.989
SCN5A,SCN2A,1.85E+06,1846845,9606.ENSP00000328968,9606.ENSP00000283256,0,0,0,0.97,0,0.989,0,0,0.989
CDC23,ANAPC1,1.86E+06,1852174,9606.ENSP00000378350,9606.ENSP00000339109,0,0,0,0,0,0.989,0,0,0.989
SCN11A,SCN2A,1.85E+06,1846845,9606.ENSP00000307599,9606.ENSP00000283256,0,0,0,0.908,0,0.989,0,0,0.989
ORC5,ORC4,1.85E+06,1845494,9606.ENSP00000297431,9606.ENSP00000264169,0,0,0,0,0,0.989,0,0,0.989
POLR2F,GTF2H4,1.86E+06,1844735,9606.ENSP00000403852,9606.ENSP00000259895,0,0,0,0,0,0.989,0,0,0.989
MCM2,MCM4,1.85E+06,1845065,9606.ENSP00000265056,9606.ENSP00000262105,0,0,0,0.772,0,0.989,0,0,0.989
MCM2,MCM3,1.85E+06,1843226,9606.ENSP00000265056,9606.ENSP00000229854,0,0,0,0.759,0,0.989,0,0,0.989
BUB1,BUB1B,1.85E+06,1847075,9606.ENSP00000302530,9606.ENSP00000287598,0,0,0,0.619,0,0.989,0,0,0.989
ORC1,ORC2,1.86E+06,1843392,9606.ENSP00000360621,9606.ENSP00000234296,0,0,0,0,0,0.989,0,0,0.989
ORC1,CDC6,1.86E+06,1842453,9606.ENSP00000360621,9606.ENSP00000209728,0,0,0,0.719,0,0.989,0,0,0.989
BUB3,BUB1,1.85E+06,1848415,9606.ENSP00000357858,9606.ENSP00000302530,0,0,0,0,0,0.989,0,0,0.989
ANAPC1,ANAPC10,1.85E+06,1849254,9606.ENSP00000339109,9606.ENSP00000310071,0,0,0,0,0,0.989,0,0,0.989
ANAPC1,BUB1B,1.85E+06,1847075,9606.ENSP00000339109,9606.ENSP00000287598,0,0,0,0,0,0.989,0,0,0.989
MCMBP,MCM5,1.85E+06,1842548,9606.ENSP00000353098,9606.ENSP00000216122,0,0,0,0,0,0.989,0,0,0.989
SCN2A,CALM2,1.85E+06,1846243,9606.ENSP00000283256,9606.ENSP00000272298,0,0,0,0,0,0.989,0,0,0.989
CDC27,BUB1B,1.86E+06,1847075,9606.ENSP00000434614,9606.ENSP00000287598,0,0,0,0,0,0.989,0,0,0.989
BUB3,BUB1B,1.85E+06,1847075,9606.ENSP00000357858,9606.ENSP00000287598,0,0,0,0,0,0.989,0,0,0.989
GTF2E2,GTF2H4,1.85E+06,1844735,9606.ENSP00000348168,9606.ENSP00000259895,0,0,0,0,0,0.989,0,0,0.989
MCM7,MCM3,1.85E+06,1843226,9606.ENSP00000307288,9606.ENSP00000229854,0,0,0,0.797,0,0.989,0,0,0.989
SCN1A,CALM2,1.85E+06,1846243,9606.ENSP00000303540,9606.ENSP00000272298,0,0,0,0,0,0.989,0,0,0.989
COPA,COPE,1.85E+06,1845219,9606.ENSP00000357048,9606.ENSP00000262812,0,0,0,0,0,0.989,0,0,0.989
GTF2H1,GTF2H4,1.85E+06,1844735,9606.ENSP00000265963,9606.ENSP00000259895,0,0,0,0,0,0.989,0,0,0.989
GTF2H5,GTF2E1,1.86E+06,1846870,9606.ENSP00000415032,9606.ENSP00000283875,0,0,0,0,0,0.989,0,0,0.989
ERCC2,MNAT1,1.86E+06,1844871,9606.ENSP00000375809,9606.ENSP00000261245,0,0,0,0,0,0.989,0,0,0.989
ANAPC1,ANAPC4,1.85E+06,1850076,9606.ENSP00000339109,9606.ENSP00000318775,0,0,0,0,0,0.989,0,0,0.989
SCN10A,SCN1A,1.86E+06,1848547,9606.ENSP00000390600,9606.ENSP00000303540,0,0,0,0.959,0,0.989,0,0,0.989
ORC1,ORC4,1.86E+06,1845494,9606.ENSP00000360621,9606.ENSP00000264169,0,0,0,0,0,0.989,0,0,0.989
MCM6,MCM5,1.85E+06,1842548,9606.ENSP00000264156,9606.ENSP00000216122,0,0,0,0.771,0,0.989,0,0,0.989
SCN10A,SCN2A,1.86E+06,1846845,9606.ENSP00000390600,9606.ENSP00000283256,0,0,0,0.961,0,0.989,0,0,0.989
ORC5,ORC2,1.85E+06,1843392,9606.ENSP00000297431,9606.ENSP00000234296,0,0,0,0,0,0.989,0,0,0.989
MCM4,MCM5,1.85E+06,1842548,9606.ENSP00000262105,9606.ENSP00000216122,0,0,0,0.803,0,0.989,0,0,0.989
SCN5A,SCN1A,1.85E+06,1848547,9606.ENSP00000328968,9606.ENSP00000303540,0,0,0,0.883,0,0.989,0,0,0.989
ORC4,ORC2,1.85E+06,1843392,9606.ENSP00000264169,9606.ENSP00000234296,0,0,0,0,0,0.989,0,0,0.989
MCMBP,MCM4,1.85E+06,1845065,9606.ENSP00000353098,9606.ENSP00000262105,0,0,0,0,0,0.989,0,0,0.989
ORC1,ORC5,1.86E+06,1847866,9606.ENSP00000360621,9606.ENSP00000297431,0,0,0,0,0,0.989,0,0,0.989
GTF2H5,GTF2E2,1.86E+06,1853268,9606.ENSP00000415032,9606.ENSP00000348168,0,0,0,0,0,0.989,0,0,0.989
CDC45,MCM3,1.86E+06,1843226,9606.ENSP00000405726,9606.ENSP00000229854,0,0,0,0,0,0.989,0,0,0.989
ERCC2,GTF2E2,1.86E+06,1853268,9606.ENSP00000375809,9606.ENSP00000348168,0,0,0,0,0,0.989,0,0,0.989
MNAT1,CDK7,1.84E+06,1844436,9606.ENSP00000261245,9606.ENSP00000256443,0,0,0,0,0,0.989,0,0,0.989
CACNA1E,CALM2,1.85E+06,1846243,9606.ENSP00000356545,9606.ENSP00000272298,0,0,0,0,0,0.989,0,0,0.989
ORC5,ORC3,1.85E+06,1844538,9606.ENSP00000297431,9606.ENSP00000257789,0,0,0,0,0,0.989,0,0,0.989
BUB1B,ANAPC5,1.85E+06,1845000,9606.ENSP00000287598,9606.ENSP00000261819,0,0,0,0,0,0.989,0,0,0.989
MCM7,MCM4,1.85E+06,1845065,9606.ENSP00000307288,9606.ENSP00000262105,0,0,0,0.802,0,0.989,0,0,0.989
ORC3,ORC6,1.84E+06,1842721,9606.ENSP00000257789,9606.ENSP00000219097,0,0,0,0,0,0.989,0,0,0.989
SCN11A,SCN1A,1.85E+06,1848547,9606.ENSP00000307599,9606.ENSP00000303540,0,0,0,0.904,0,0.989,0,0,0.989
MCM7,MCM2,1.85E+06,1845676,9606.ENSP00000307288,9606.ENSP00000265056,0,0,0,0.795,0,0.989,0,0,0.989
MCM7,MCM6,1.85E+06,1845487,9606.ENSP00000307288,9606.ENSP00000264156,0,0,0,0.804,0,0.989,0,0,0.989
CDC27,ANAPC1,1.86E+06,1852174,9606.ENSP00000434614,9606.ENSP00000339109,0,0,0,0,0,0.989,0,0,0.989
ORC3,ORC2,1.84E+06,1843392,9606.ENSP00000257789,9606.ENSP00000234296,0,0,0,0,0,0.989,0,0,0.989
ERCC2,CCNH,1.86E+06,1844473,9606.ENSP00000375809,9606.ENSP00000256897,0,0,0,0,0,0.989,0,0,0.989
MCM2,MCM5,1.85E+06,1842548,9606.ENSP00000265056,9606.ENSP00000216122,0,0,0,0.798,0,0.989,0,0,0.989
ANAPC1,ANAPC2,1.85E+06,1849673,9606.ENSP00000339109,9606.ENSP00000314004,0,0,0,0,0,0.989,0,0,0.989
MCM6,MCM4,1.85E+06,1845065,9606.ENSP00000264156,9606.ENSP00000262105,0,0,0,0.758,0,0.989,0,0,0.989
ERCC3,GTF2H4,1.85E+06,1844735,9606.ENSP00000285398,9606.ENSP00000259895,0,0,0,0,0,0.989,0,0,0.989
MCM7,MCM5,1.85E+06,1842548,9606.ENSP00000307288,9606.ENSP00000216122,0,0,0,0.786,0,0.989,0,0,0.989
ORC1,MCM2,1.86E+06,1845676,9606.ENSP00000360621,9606.ENSP00000265056,0,0,0,0,0,0.988,0,0,0.988
MCMBP,MCM3,1.85E+06,1843226,9606.ENSP00000353098,9606.ENSP00000229854,0,0,0,0,0,0.988,0,0,0.988
CDC45,MCM6,1.86E+06,1845487,9606.ENSP00000405726,9606.ENSP00000264156,0,0,0,0,0,0.988,0,0,0.988
ORC1,MCM6,1.86E+06,1845487,9606.ENSP00000360621,9606.ENSP00000264156,0,0,0,0,0,0.988,0,0,0.988
CDC16,CDC20,1.85E+06,1849070,9606.ENSP00000348554,9606.ENSP00000308450,0,0,0,0,0,0.988,0,0,0.988
MCM4,MCM3,1.85E+06,1843226,9606.ENSP00000262105,9606.ENSP00000229854,0,0,0,0.747,0,0.988,0,0,0.988
ORC2,MCM5,1.84E+06,1842548,9606.ENSP00000234296,9606.ENSP00000216122,0,0,0,0,0,0.988,0,0,0.988
CDC23,CDC20,1.86E+06,1849070,9606.ENSP00000378350,9606.ENSP00000308450,0,0,0,0,0,0.988,0,0,0.988
ORC5,MCM2,1.85E+06,1845676,9606.ENSP00000297431,9606.ENSP00000265056,0,0,0,0,0,0.988,0,0,0.988
GTF2H1,MNAT1,1.85E+06,1844871,9606.ENSP00000265963,9606.ENSP00000261245,0,0,0,0,0,0.988,0,0,0.988
CDC27,ANAPC5,1.86E+06,1845000,9606.ENSP00000434614,9606.ENSP00000261819,0,0,0,0,0,0.988,0,0,0.988
MCM2,ORC2,1.85E+06,1843392,9606.ENSP00000265056,9606.ENSP00000234296,0,0,0,0,0,0.988,0,0,0.988
CDC45,MCM7,1.86E+06,1848945,9606.ENSP00000405726,9606.ENSP00000307288,0,0,0,0,0,0.988,0,0,0.988
MNAT1,GTF2H4,1.84E+06,1844735,9606.ENSP00000261245,9606.ENSP00000259895,0,0,0,0,0,0.988,0,0,0.988
ORC5,ORC6,1.85E+06,1842721,9606.ENSP00000297431,9606.ENSP00000219097,0,0,0,0,0,0.987,0,0,0.987
CALM2,KCNN2,1.85E+06,1845618,9606.ENSP00000272298,9606.ENSP00000264773,0,0,0,0,0,0.987,0,0,0.987
CDK2,CDC6,1.85E+06,1842453,9606.ENSP00000266970,9606.ENSP00000209728,0,0,0,0,0,0.987,0,0,0.987
DDRGK1,CDK5RAP3,1.85E+06,1852848,9606.ENSP00000346483,9606.ENSP00000344683,0,0,0,0,0,0.987,0,0,0.987
POLR2G,GTF2H4,1.85E+06,1844735,9606.ENSP00000301788,9606.ENSP00000259895,0,0,0,0,0,0.987,0,0,0.987
ORC2,ORC6,1.84E+06,1842721,9606.ENSP00000234296,9606.ENSP00000219097,0,0,0,0,0,0.986,0,0,0.986
ARNTL,CRY1,1.86E+06,1842155,9606.ENSP00000374357,9606.ENSP00000008527,0,0,0,0,0,0.986,0,0,0.986
MAP3K7,TRAF6,1.86E+06,1852047,9606.ENSP00000358335,9606.ENSP00000337853,0,0,0,0,0,0.985,0,0,0.985
PER1,CRY1,1.85E+06,1842155,9606.ENSP00000314420,9606.ENSP00000008527,0,0,0,0,0,0.985,0,0,0.985
CSNK1E,PER1,1.85E+06,1849704,9606.ENSP00000352929,9606.ENSP00000314420,0,0,0,0,0,0.985,0,0,0.985
ANAPC10,CDC20,1.85E+06,1849070,9606.ENSP00000310071,9606.ENSP00000308450,0,0,0,0,0,0.984,0,0,0.984
ORC1,MCM4,1.86E+06,1845065,9606.ENSP00000360621,9606.ENSP00000262105,0,0,0,0,0,0.984,0,0,0.984
GTF2H3,GTF2H2,1.86E+06,1846383,9606.ENSP00000445162,9606.ENSP00000274400,0,0,0,0,0,0.984,0,0,0.984
GTF2B,GTF2E2,1.86E+06,1853268,9606.ENSP00000359531,9606.ENSP00000348168,0,0,0,0,0,0.984,0,0,0.984
CDC16,MAD2L1,1.85E+06,1847745,9606.ENSP00000348554,9606.ENSP00000296509,0,0,0,0,0,0.984,0,0,0.984
GTF2H5,POLR2F,1.86E+06,1860435,9606.ENSP00000415032,9606.ENSP00000403852,0,0,0,0,0,0.983,0,0,0.983
SCN8A,SCN2A,1.85E+06,1846845,9606.ENSP00000346534,9606.ENSP00000283256,0,0,0,0.981,0,0.982,0,0,0.982
SCN8A,SCN1A,1.85E+06,1848547,9606.ENSP00000346534,9606.ENSP00000303540,0,0,0,0.981,0,0.982,0,0,0.982
SCN1A,SCN3A,1.85E+06,1846844,9606.ENSP00000303540,9606.ENSP00000283254,0,0,0,0.985,0,0.982,0,0,0.982
ORC1,ORC3,1.86E+06,1844538,9606.ENSP00000360621,9606.ENSP00000257789,0,0,0,0,0,0.982,0,0,0.982
ORC4,ORC3,1.85E+06,1844538,9606.ENSP00000264169,9606.ENSP00000257789,0,0,0,0,0,0.982,0,0,0.982
SCN2A,SCN3A,1.85E+06,1846844,9606.ENSP00000283256,9606.ENSP00000283254,0,0,0,0.987,0,0.982,0,0,0.982
GTF2H5,GTF2B,1.86E+06,1855275,9606.ENSP00000415032,9606.ENSP00000359531,0,0,0,0,0,0.982,0,0,0.982
ORC5,CDC6,1.85E+06,1842453,9606.ENSP00000297431,9606.ENSP00000209728,0,0,0,0,0,0.981,0,0,0.981
PER2,BHLHE41,1.84E+06,1843637,9606.ENSP00000254657,9606.ENSP00000242728,0,0,0,0,0,0.981,0,0,0.981
ORC3,CDC6,1.84E+06,1842453,9606.ENSP00000257789,9606.ENSP00000209728,0,0,0,0,0,0.981,0,0,0.981
ORC1,MCM5,1.86E+06,1842548,9606.ENSP00000360621,9606.ENSP00000216122,0,0,0,0,0,0.98,0,0,0.98
CRY2,ARNTL,1.86E+06,1857849,9606.ENSP00000406751,9606.ENSP00000374357,0,0,0,0,0,0.98,0,0,0.98
CRY2,PER1,1.86E+06,1849704,9606.ENSP00000406751,9606.ENSP00000314420,0,0,0,0,0,0.98,0,0,0.98
CSNK1E,PER2,1.85E+06,1844310,9606.ENSP00000352929,9606.ENSP00000254657,0,0,0,0,0,0.98,0,0,0.98
CSNK1E,CRY1,1.85E+06,1842155,9606.ENSP00000352929,9606.ENSP00000008527,0,0,0,0,0,0.98,0,0,0.98
SCN8A,SCN3A,1.85E+06,1846844,9606.ENSP00000346534,9606.ENSP00000283254,0,0,0,0.98,0,0.979,0,0,0.979
IGBP1,PPP2CB,1.85E+06,1842815,9606.ENSP00000348784,9606.ENSP00000221138,0,0,0,0,0,0.979,0,0,0.979
PPP2CA,IGBP1,1.86E+06,1853348,9606.ENSP00000418447,9606.ENSP00000348784,0,0,0,0,0,0.979,0,0,0.979
KSR2,MAP2K1,1.85E+06,1848411,9606.ENSP00000339952,9606.ENSP00000302486,0,0,0,0,0,0.978,0,0,0.978
GTF2B,GTF2E1,1.86E+06,1846870,9606.ENSP00000359531,9606.ENSP00000283875,0,0,0,0,0,0.977,0,0,0.977
CDK4,CCND1,1.84E+06,1843117,9606.ENSP00000257904,9606.ENSP00000227507,0,0,0,0,0,0.976,0,0,0.976
ANAPC2,CDC20,1.85E+06,1849070,9606.ENSP00000314004,9606.ENSP00000308450,0,0,0,0,0,0.976,0,0,0.976
CDK2,CCNB1,1.85E+06,1844435,9606.ENSP00000266970,9606.ENSP00000256442,0,0,0,0,0,0.975,0,0,0.975
CDC27,CDC20,1.86E+06,1849070,9606.ENSP00000434614,9606.ENSP00000308450,0,0,0,0,0,0.975,0,0,0.975
ckshs1,SKP1,1.86E+06,1843292,9606.ENSP00000471505,9606.ENSP00000231487,0,0,0,0,0,0.974,0,0,0.974
GTF2H5,POLR2G,1.86E+06,1848338,9606.ENSP00000415032,9606.ENSP00000301788,0,0,0,0,0,0.974,0,0,0.974
BHLHE41,CRY1,1.84E+06,1842155,9606.ENSP00000242728,9606.ENSP00000008527,0,0,0,0,0,0.973,0,0,0.973
GTF2H3,ERCC2,1.86E+06,1857962,9606.ENSP00000445162,9606.ENSP00000375809,0,0,0,0,0,0.973,0,0,0.973
RAP1A,RAF1,1.85E+06,1844086,9606.ENSP00000348786,9606.ENSP00000251849,0,0,0,0,0,0.972,0,0,0.972
